"","seqnames","start","end","0h_1","0h_2","0h_2re","0h_3","0h_3re","0.5h_1","0.5h_2","0.5h_3","1h_1","1h_2","1h_3","3h_1","3h_2","3h_3","24h_1","24h_2","24h_3","76h_1","76h_2","76h_3"
"34","Tb927_03_v5.1",1227745,1228145,1189.9065850557,916.327915177442,632.655708108851,743.944948352766,1121.91410101739,754.890798885567,704.668208439907,1557.68063330269,3452.0912730556,2059.95155423554,3460.59528027498,5278.39245873369,5609.40570915019,4529.90600702292,2959.97771219113,4621.10562358988,937.621171166438,4773.23751282349,4707.80337171174,4203.59446287962
"35","Tb927_03_v5.1",1376967,1377367,1522.06232698034,1063.49573185746,744.778765967183,968.425683337149,1227.75505394356,868.987511935198,867.906997662945,1640.76513962267,4081.12217462226,2357.6009418079,3979.94167449158,5576.32907118477,6130.82796195769,5259.74130523123,2777.2997098833,5108.86563481502,1165.31318588287,4936.11345545613,4975.00302253862,4348.01533713231
"36","Tb927_03_v5.1",139824,140224,512.868827569464,328.582232210093,310.369623926688,254.373898185821,555.665002862388,186.512339044231,264.795745877065,446.194570977658,1256.79868887315,883.873486266704,1213.52226767444,2004.16123324046,1972.25680184733,1545.8958637155,1064.8790866237,1426.83819375629,353.565978626008,1434.28068885453,1338.31167102469,1313.99320016795
"37","Tb927_03_v5.1",1607313,1607713,473.41737929489,317.475227177639,221.537829294966,274.678688284911,390.099512213595,172.197622277857,243.6120862069,416.653413174999,1213.85280402723,838.500104014819,1122.2509954235,1549.57753589243,1703.31269250451,1396.54138285853,990.619736092065,1192.76945273733,315.524069533336,777.9149498872,784.248325803577,738.677258472791
"38","Tb927_03_v5.1",1612375,1612775,1060.09859395872,883.932483832785,659.738572325839,874.798040102457,943.496494656136,642.478170161391,732.705405062184,1068.40520719616,2869.79559911537,1847.60412529672,2661.0075149217,3367.91232528455,3668.25128729489,3227.28857604352,2293.12874441701,3129.7934053613,933.705092289251,2623.0319716509,2541.28845396823,2134.35111702956
"39","Tb927_03_v5.1",1616833,1617233,962.10628695413,665.494718194526,562.78191842902,677.390358583527,805.147249045501,479.543011673542,596.880763647596,859.770780214879,2488.33509254282,1756.85736079296,2352.48490449599,3036.18908667923,3238.30662269923,2956.29487881849,2313.92136256587,3209.68513133783,673.565566876128,1001.56549797977,1022.53026550201,918.611462459754
"40","Tb927_03_v5.1",1618574,1618974,169.25943937156,209.181928111214,165.747129007969,151.15788184878,214.7059330788,117.885902781907,155.762203457097,166.169012639955,963.756180512777,805.831268793463,429.360632842438,763.270599939088,795.85501744303,523.510551457441,983.193801038901,570.454955656986,171.188590917023,210.280134891384,216.30447924081,209.528645432186
"41","Tb927_03_v5.1",260103,260503,1226.81277860289,864.495225025991,612.07273130394,661.033722114816,1174.83457748048,682.054151809603,689.715036908026,1632.14896859689,3244.94053438706,1869.38334877763,3643.13782477685,5212.35496215949,6180.22585959208,4545.30337618343,3209.48912997744,4643.53137123242,982.376358334287,4452.34759599502,4276.35112167526,4187.02157567029
"42","Tb927_03_v5.1",263301,263701,1206.45074078375,857.090555004355,597.447984626766,547.66531072823,1056.89751564846,672.370666938232,593.765519578454,1347.19988395875,3117.36599410948,2631.65617060928,2804.98473312036,4677.9119666287,5278.25683982332,3817.00781489116,3338.70039990249,4169.78745228386,787.691294154143,3166.35694446275,3229.52997882535,3043.49235822684
"43","Tb927_03_v5.1",588495,588895,1116.09419796134,1047.76080806148,700.904525935662,779.478331026174,1230.02307436341,958.66500226572,831.770166460898,1676.46070530088,3309.35936165593,1831.26970768605,3486.30549781045,5404.32442894497,6015.56620081077,4643.84653881071,2656.99956202204,4228.65503984552,1036.6420227753,4418.31381693746,4262.4706203336,3740.73739867632
"44","Tb927_03_v5.1",868822,869222,505.233063387288,489.633805180674,453.908804276727,368.8703534668,566.249098155005,505.646318718107,552.021249051952,588.361392902953,2410.02200841203,1359.38653226645,949.992537935813,1783.01240750358,1906.3929383348,1216.39216368052,2578.28465045851,1034.38761001193,472.167224620807,877.585302841498,844.397164950754,840.482137044362
"45","Tb927_03_v5.1",872724,873124,1524.60758170774,717.327408345978,609.364444882241,419.632328714525,1089.40580833293,282.926166676576,444.233804259641,923.77662212064,2133.39998543392,2232.3704067927,2274.06874101279,2933.29345248221,3115.72665449536,2609.85407270695,1849.05782823781,2504.67568982564,543.216084249768,2482.03488698385,2499.64694994326,2739.26150016994
"46","Tb927_03_v5.1",977873,978273,1514.42656279817,1117.17958951432,690.071380248866,837.008569640262,1303.35573460511,681.633130728239,813.078702046046,1771.85402737197,4235.22211436349,2608.0620118383,3873.24427171936,6018.62672265852,6582.72724772419,5104.22787671005,3090.67416912682,3911.89135439471,1042.79586101088,4357.53921147752,4305.26883280371,4130.20024809546
"47","Tb927_04_v5.1",1282605,1283005,929.017975498036,589.596850472758,475.575095650318,463.626040595886,869.407827607818,417.231891631677,400.620387291654,898.543549830869,2461.80969307917,1878.458025228,2196.93808840637,3596.73992969285,3999.40015662176,2965.5333003148,2162.43228748133,2784.99753535732,618.740462595513,2568.33482673696,2461.4755712537,2659.94839709673
"48","Tb927_04_v5.1",1391957,1392357,1123.72996214351,759.904260970384,582.823237949592,675.134270794739,1044.045399936,570.062544166792,543.298565658355,1213.64923305923,2543.91211999048,1858.49373703718,2987.52727762223,4347.72448375766,4958.08528108187,3809.30913031091,2441.64744548029,3561.4890474801,820.138804850834,3450.78209801525,3332.47703044263,3144.1134591406
"49","Tb927_04_v5.1",1461508,1461908,254.525472739188,308.219389650594,241.579148815537,245.34954703067,362.127260368821,349.026476450717,307.786114031224,402.498275061225,1350.26914412603,782.237110022483,642.755438386883,1282.35603812704,1414.24351375509,954.636887951804,1531.2278079624,898.431514929061,304.894712580972,506.860209535879,510.108424305866,465.224619518922
"50","Tb927_04_v5.1",1463904,1464304,277.432765285715,334.13573472632,220.454514726286,280.31890775688,365.151287595283,359.973024566179,290.963796057857,486.813662956313,1421.00354269577,874.798809816327,919.140276893243,1700.08159785225,1851.50638540769,1231.78953284104,1244.58671491027,1410.01888302439,378.181331568324,878.800794950697,945.030799677761,773.006810549251
"51","Tb927_04_v5.1",1465900,1466300,375.425072290302,292.484465854618,245.912407090255,203.047900990899,395.391559859903,235.350784482449,273.518429270662,560.051116675405,1102.69874913192,767.71762770188,1009.12603826741,1767.65485016075,1869.80190305006,1368.8261183696,947.549312783714,1307.70140940533,248.95072862116,1231.29350661833,1243.46157852337,1322.27964377261
"52","Tb927_04_v5.1",1467414,1467814,1205.17811342005,758.97867721768,659.1969150415,619.296098022242,1099.98990362554,508.172445206291,537.068077520071,1140.41177934014,2891.26854153833,2018.20804256381,2682.86119982685,4321.61663627484,5003.82407518779,3555.25253916244,2401.54739619321,3111.57248540174,761.95706153263,3041.16125721527,3177.47809879414,3153.58368040307
"53","Tb927_04_v5.1",1475055,1475455,851.387706312584,661.792383183708,658.65525775716,506.491708582854,815.731344338118,504.804276555379,512.146124966935,785.302444920677,1511.9477694283,1156.11377977801,1462.91137776855,2345.09900625148,2554.05426287464,1935.44930347648,1234.19040583584,1520.74601200941,519.719610986647,1092.72740616968,1096.55960599084,1151.81566104812
